 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2008-2009
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2007";2376;2187;13459;2035;37857;2760;6421;24664;12007;18737;10294;10973;35172;7565;5084;22319;72046;11472;29525;100043;45779;24844;44375;9979;11471;23122;16396;602962
"..Janeiro/2007";-;1;3;-;8;-;-;4;-;1;-;2;6;-;-;3;4;1;6;7;5;-;-;-;3;3;4;61
"..Fevereiro/2007";1;-;2;-;6;-;1;6;1;2;1;-;7;-;1;6;4;1;4;2;-;1;-;-;2;3;12;63
"..Março/2007";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;4
"..Abril/2007";-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;6
"..Maio/2007";-;-;-;-;1;1;-;3;1;-;-;-;-;-;-;-;2;-;4;3;1;-;-;-;-;-;1;17
"..Junho/2007";-;1;-;1;1;3;1;-;-;-;1;-;2;-;-;1;4;-;3;5;3;1;4;-;1;3;1;36
"..Julho/2007";-;-;1;-;4;25;1;17;4;5;5;2;15;5;2;5;32;7;26;36;26;113;19;12;6;7;9;384
"..Agosto/2007";7;5;59;14;404;75;8;461;137;416;272;107;268;195;18;54;538;39;400;580;646;766;251;162;102;298;47;6329
"..Setembro/2007";42;17;69;8;798;272;48;1103;372;528;468;273;979;275;58;312;1709;187;808;2303;1393;842;1261;421;320;812;281;15959
"..Outubro/2007";105;100;565;73;3202;258;206;2803;1350;1537;975;1071;3114;907;192;1087;7306;979;3193;7298;4396;2519;4907;954;977;1988;1918;53980
"..Novembro/2007";393;573;2780;818;8690;524;1195;6274;2993;4231;2368;2328;7446;1720;866;3263;16697;2535;7479;20861;9991;5870;10116;2198;2085;4158;4752;133204
"..Dezembro/2007";1828;1490;9979;1121;24743;1602;4961;13992;7149;12017;6204;7190;23334;4463;3946;17588;45750;7722;17600;68947;29317;14732;27817;6232;7975;15850;9370;392919
"2008";73088;49010;165614;25560;507219;33113;98558;325629;225907;492674;161497;223310;491204;179536;99867;847075;1122740;183888;642573;2202033;735004;373379;719203;153622;174477;357921;184851;10848552
"..Janeiro/2008";5242;3735;13628;1898;43817;2721;8294;26181;19593;41997;12773;18485;40916;14837;8731;66223;92681;14516;54995;183408;60003;29970;58910;12254;13961;31520;14525;895814
"..Fevereiro/2008";5562;3723;13828;1739;40225;2511;7846;25847;18396;41110;12423;17603;36866;13445;8119;60453;86508;13848;47536;167955;56290;29011;54736;12062;13522;28761;14212;834137
"..Março/2008";5105;4163;14869;2047;43274;2390;8562;28377;19739;43877;14359;19815;41469;14959;9162;74394;96745;16611;58293;188153;63308;31710;61611;13397;16016;33751;16576;942732
"..Abril/2008";5175;4223;14323;2211;44734;2663;8793;29188;19263;45769;15815;20801;45686;17517;9738;80024;99252;16654;59623;188980;63368;31495;59890;13124;15480;34080;16585;964454
"..Maio/2008";5148;4471;14904;2415;44894;2740;8751;27669;19030;44941;15456;21183;44966;17140;9324;75255;96742;15850;57523;186439;63544;31708;59106;12990;15568;29786;15974;943517
