 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2010-2012
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2009";5047;2869;16589;1707;37351;2902;7407;24550;13581;28291;11337;11883;34556;9264;6387;39547;60122;15116;45853;136089;50746;26352;48428;13074;11264;16398;12125;688835
"..Fevereiro/2009";-;1;2;-;1;-;2;3;1;1;2;1;3;-;-;4;1;-;2;3;-;-;-;-;1;2;1;31
"..Março/2009";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;7;-;-;-;-;-;-;-;-;9
"..Abril/2009";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;-;-;-;-;-;-;7
"..Maio/2009";-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;3;1;7;7;-;-;1;-;-;-;-;24
"..Junho/2009";-;-;-;1;-;1;-;2;-;1;-;2;1;-;-;20;9;-;19;23;5;-;4;1;-;-;3;92
"..Julho/2009";1;3;2;-;2;1;-;1;9;13;7;4;5;-;-;92;19;1;98;85;56;3;26;5;5;3;7;448
"..Agosto/2009";7;9;24;1;51;3;3;61;108;45;17;50;52;4;6;493;95;26;420;614;409;24;140;36;39;39;37;2813
"..Setembro/2009";35;50;163;24;324;31;69;365;857;442;65;134;209;111;275;739;683;97;1354;2059;941;275;845;206;166;143;166;10828
"..Outubro/2009";286;320;2159;161;2917;220;421;1995;1849;2994;941;1493;2366;607;1277;2681;5218;1090;5799;11780;4634;1931;3680;1328;866;950;886;60849
"..Novembro/2009";1204;678;4339;515;9081;842;1976;6514;3539;7127;3201;2935;7410;2112;1610;8093;14023;4046;12204;33061;12638;6137;11102;3576;2653;3359;2572;166547
"..Dezembro/2009";3513;1808;9900;1005;24975;1804;4936;15609;7218;17668;7104;7262;24506;6430;3219;27424;40071;9855;25942;88453;32062;17982;32630;7922;7534;11902;8453;447187
"2010";100443;49778;161830;32827;528658;36458;103059;395304;233769;487049;172370;231920;515899;180977;93524;886578;1136979;195450;666324;2339758;784951;389198;722331;163411;180163;371237;186895;11347140
"..Janeiro/2010";8670;4034;13542;2568;43745;3070;8411;32634;20698;40270;13954;18987;40462;14258;7143;71380;91105;14830;55513;187231;61433;30970;59683;13342;15115;32623;15434;921105
"..Fevereiro/2010";7945;3624;12401;2277;42286;2715;8013;29964;18729;37242;13060;17666;36900;13072;6678;66548;87825;14003;49748;179941;60456;29943;54080;13084;13939;30627;14567;867333
"..Março/2010";9036;4556;14616;2828;48037;3169;9439;34454;21582;43821;16251;20708;46020;17045;8727;81882;104877;17634;61193;216682;73228;35207;64897;16236;16803;35019;17306;1041253
"..Abril/2010";8551;4508;13674;2590;44248;3134;9026;33058;19696;41367;15027;19702;43193;16214;8324;77278;95596;16464;57866;198602;65405;32185;60314;13851;15284;32086;16292;963535
"..Maio/2010";8622;4293;13545;2984;46360;3074;8835;34014;21043;44091;15722;21480;47255;16950;8722;81262;98346;16961;59851;204531;67439;33375;62529;13625;15543;31381;16707;998540
"..Junho/2010";7861;3963;13197;3028;43746;3159;8130;33077;19208;41069;13979;18716;42126;14394;7280;68596;91795;15656;55026;192091;64959;32530;60718;13129;14217;29121;14863;925634
"..Julho/2010";8332;3958;13188;3085;41934;3201;8223;33117;18938;40715;14492;20536;43597;15269;7859;72476;94663;16241;56306;193427;66122;33192;63078;13006;14731;28403;15301;943390
"..Agosto/2010";8618;4102;13595;3099;45673;3468;9221;33897;19329;41586;14757;20305;44786;15771;7971;77454;99193;17355;58892;205500;67807;34406;64043;14588;15573;32536;16281;989806
"..Setembro/2010";8403;4156;13485;2800;44367;3180;8747;33798;19146;40045;14169;19346;43291;15236;7963;74034;97228;16370;53559;195081;66673;32474;59741;14086;15406;32248;15900;950932
"..Outubro/2010";8182;4406;14067;2658;42910;2912;8501;33182;18906;39831;13812;19307;43723;14841;7630;73828;93079;16686;53720;191999;64601;32584;60225;13251;14688;29740;15454;934723
"..Novembro/2010";8293;4124;13212;2528;43087;2722;8362;32886;18722;38972;13837;18461;43154;14631;7861;72850;91907;16669;52949;191212;65123;32042;58004;12945;14465;29536;14697;923251
"..Dezembro/2010";7930;4054;13308;2382;42265;2654;8151;31223;17772;38040;13310;16706;41392;13296;7366;68990;91365;16581;51701;183461;61705;30290;55019;12268;14399;27917;14093;887638
"2011";97936;52112;164114;30057;509347;37081;108143;403392;225808;484909;169939;211973;526924;177668;92631;877757;1147266;210945;654034;2350477;752266;399482;710201;157599;174354;352880;187789;11267084
"..Janeiro/2011";7821;4621;13978;2541;44268;2976;8780;35259;20830;41969;13412;18020;42371;13702;7828;74584;94600;17012;56747;195391;64083;32379;59554;13317;14846;29938;15321;946148
"..Fevereiro/2011";7785;4129;13488;1984;42044;2789;8440;33794;19506;41111;13922;18316;41933;14193;7001;69851;91208;16649;53878;190427;61257;31731;53992;12779;13597;28997;15093;909894
"..Março/2011";8691;4573;15187;2077;46579;3221;9728;35398;20486;44395;15385;20016;46617;15711;7796;78163;99462;18459;57348;210100;66609;34864;61470;14153;15193;33829;16675;1002185
"..Abril/2011";8836;4344;14388;2185;42490;3329;9267;33386;19110;41959;14640;17642;44437;14862;7774;75249;95537;17686;58323;197926;61681;33265;58049;13631;14825;30013;16468;951302
"..Maio/2011";8274;4859;13665;2620;43492;3258;9323;33579;19198;42245;15025;18251;46261;16345;8530;76744;102114;18703;60871;209373;66262;35299;62426;14134;14675;29668;16519;991713
"..Junho/2011";8195;4355;13539;2596;41299;2912;8790;31731;17881;39860;14241;17233;43332;15458;7699;71041;95621;17937;56275;193857;60615;33227;61120;13112;14256;27611;15286;929079
"..Julho/2011";7814;4311;13345;2568;38734;3034;8202;32043;17827;38608;14373;16901;43160;14890;7561;71511;94660;17398;54035;196668;61560;34076;61119;13269;13854;28496;15199;925216
"..Agosto/2011";8681;4304;13716;2735;43303;3119;8985;34748;18489;40896;14860;18036;46440;15677;7944;76614;99679;18382;56792;205817;64990;34901;61506;13007;15041;30702;16510;975874
"..Setembro/2011";7918;4234;13051;2837;42302;3204;8966;32711;18449;38911;14023;17281;43321;14870;7407;70909;95030;17041;52078;192477;61005;32607;57716;12673;14627;29736;15795;921179
"..Outubro/2011";8245;4118;13756;2702;41776;3185;9133;33697;18418;39467;13936;17136;44263;14897;7703;72356;93911;17286;50810;194114;63302;33834;59073;12521;14533;29264;15388;928824
"..Novembro/2011";8254;4148;14317;2669;42089;3121;9509;34656;18330;38308;13718;16932;43250;14029;7971;71318;93533;17411;49151;186207;62444;32561;58085;12792;14659;28572;15213;913247
"..Dezembro/2011";7422;4116;11684;2543;40971;2933;9020;32390;17284;37180;12404;16209;41539;13034;7417;69417;91911;16981;47726;178120;58458;30738;56091;12211;14248;26054;14322;872423
"2012";90164;48173;150041;25959;452211;35540;98178;370780;206460;417181;153002;189626;494919;157005;83379;803125;1092623;197223;587724;2222045;718842;375510;663952;140391;171887;316676;166450;10429066
"..Janeiro/2012";8152;4523;13005;2463;42731;3070;8789;33513;18824;38887;13028;16198;41691;13753;7616;71469;95124;17069;53008;191842;60440;33116;60760;12848;14457;27948;15388;919712
