 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2019-2021
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2017";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"..Dezembro/2017";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"2018";8666;3493;13511;1945;29503;1763;8253;19932;7521;37379;16001;10670;18828;8518;8797;54664;76693;18714;48341;100705;56022;29130;50735;18484;9948;16056;16417;690689
"..Janeiro/2018";-;-;-;-;3;-;-;1;1;2;1;1;1;-;-;5;2;-;2;4;-;-;-;-;1;-;-;24
"..Fevereiro/2018";6;-;1;-;1;-;-;3;-;5;-;-;-;-;-;4;1;-;2;6;-;1;-;3;-;-;-;33
"..Março/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;3
"..Abril/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;2;-;-;-;-;-;-;2;9
"..Maio/2018";2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;1;1;-;-;-;-;-;10
"..Junho/2018";3;-;-;-;-;-;1;-;-;1;2;-;1;4;-;3;2;-;16;15;4;-;8;-;2;2;1;65
"..Julho/2018";7;12;1;3;6;-;-;-;-;6;10;3;-;5;-;17;21;-;54;94;171;7;48;5;1;84;12;567
"..Agosto/2018";30;49;5;2;35;-;4;26;6;54;120;23;1;51;37;133;124;2;191;391;923;24;393;68;7;287;21;3007
"..Setembro/2018";197;150;68;39;598;7;273;151;109;681;987;162;50;134;311;845;980;153;850;1318;1528;220;1649;308;97;510;257;12632
"..Outubro/2018";1355;382;1765;179;3606;83;1395;1520;636;5212;2916;923;999;839;1415;5409;9097;2847;5744;10164;7461;2283;4993;2262;819;1434;1878;77616
"..Novembro/2018";2309;1039;3058;545;7543;316;2518;5100;1467;10491;4616;3013;3078;1771;2564;12863;19269;4964;12510;20883;14228;7091;11996;6050;2792;3195;3710;168979
"..Dezembro/2018";4757;1861;8613;1177;17710;1357;4062;13131;5301;20927;7349;6545;14698;5714;4470;35384;47195;10748;28964;67828;31706;19503;31647;9788;6229;10544;10536;427744
"2019";122292;44803;195873;44720;482673;40300;82688;460761;220226;527009;181806;188245;582225;172904;96486;846002;1278742;249785;729724;2527777;887744;508575;768181;176518;196015;342388;230975;12185437
"..Janeiro/2019";9448;3509;16056;3516;41265;3454;5947;38425;18007;44387;14557;14649;46643;13868;7676;67851;103677;19712;60726;208950;72527;40885;62443;14012;15742;27589;18334;993855
"..Fevereiro/2019";9580;3162;14900;3329;38062;3386;5842;35256;16684;41999;13808;14219;44535;13280;7322;64981;97752;19457;56487;196975;70051;38417;56389;13582;15054;26353;18045;938907
"..Março/2019";10572;3259;16965;3463;41238;3533;6645;39536;18223;44211;15000;16116;47337;13921;8102;68960;105283;20873;59816;210496;74562;41155;61635;14841;16601;28366;19814;1010523
"..Abril/2019";10785;3589;16363;3636;40082;3542;7160;40015;17892;45443;15875;16854;49529;14657;8624;72767;110778;20786;61194;217520;76977;43029;64444;15468;16936;30316;20498;1044759
"..Maio/2019";11290;4065;16663;3632;40816;3272;7178;41332;19081;47018;16595;17398;52655;15610;9019;77934;115484;22009;65012;225473;79611;45149;68285;16162;17606;30868;20370;1089587
"..Junho/2019";9995;3986;16043;3507;36955;3329;6876;37554;17919;42681;15061;15495;47558;13884;7970;68938;105842;20339;60559;207872;72743;41956;65770;14816;16340;28249;18496;1000733
"..Julho/2019";9940;4032;16828;3922;40696;3356;6587;38756;18250;44644;15751;16541;50421;15513;8017;75001;111252;21868;64086;214099;77662;45905;69225;14758;16851;28659;19792;1052412
"..Agosto/2019";9942;3872;17190;4084;40637;3147;7165;38320;18971;44025;15853;16123;50695;15475;7878;73248;108185;21615;63308;216034;74456;42857;67859;14849;16797;29103;20342;1042030
"..Setembro/2019";10147;3971;16336;3956;41054;3494;7159;37972;18943;43790;15523;15743;49593;14619;8038;71088;106752;21152;61608;211709;73616;43007;64316;14724;16697;28726;19898;1023631
"..Outubro/2019";10367;4112;16995;4199;42402;3476;7229;39072;20170;45514;15573;16089;51024;15333;8359;74088;109789;21968;63039;220858;76019;45363;66553;14844;17200;29589;20198;1059422
"..Novembro/2019";10365;3650;16072;3925;40457;3298;7420;37990;18364;42225;14342;15023;47886;13986;7780;68067;102940;19963;58196;203475;71831;41811;61739;14442;15691;27592;17807;986337
"..Dezembro/2019";9861;3596;15462;3551;39009;3013;7480;36533;17722;41072;13868;13995;44349;12758;7701;63079;101008;20043;55693;194316;67689;39041;59523;14020;14500;26978;17381;943241
"2020";103633;42482;181521;38957;433012;34382;77022;391992;184753;454203;159993;154677;487579;143625;85762;697318;1111827;223053;651421;2206746;736355;431722;663681;154049;167904;305675;208478;10531822
"..Janeiro/2020";9838;3840;16599;3731;41444;3313;7132;38344;18528;43863;14376;14793;47876;13310;7914;67568;105174;20947;59864;212127;72067;42091;64798;15223;15955;28624;18316;1007655
"..Fevereiro/2020";9506;3792;15464;3593;38620;3143;7149;35815;17503;41164;14086;13894;43318;12578;7691;64383;98203;20484;54479;197764;70336;39876;58095;14699;14939;27150;17617;945341
"..Março/2020";8710;3648;15347;3452;37848;2956;6669;34905;16099;40501;14198;13970;41635;12603;7901;63576;96611;20269;54250;193003;67628;37662;56860;14463;15093;26486;18055;924398
"..Abril/2020";7159;2829;12297;2584;29001;2295;5899;25382;11770;30909;10722;11079;31864;10016;6157;47972;76977;15597;45289;144854;52542;28845;44722;10843;11701;21089;15850;716244
"..Maio/2020";7443;2818;13284;2884;31530;2526;5756;28340;13180;33860;10812;11844;35302;9960;6203;49461;84366;16492;50006;162855;55802;30926;50489;11586;12809;22858;16648;780040
"..Junho/2020";7797;3029;13955;2974;32415;2617;6040;29793;13657;34791;12212;12304;36859;10172;6591;51010;85878;16635;50022;169301;55559;33258;52459;11609;12909;24027;16563;804436
"..Julho/2020";8560;3549;15422;3080;36057;2746;6294;32187;14643;37609;13298;13026;40624;11152;7077;55428;91580;18288;54719;182324;56661;34906;53034;12230;13670;25637;16931;860732
"..Agosto/2020";9073;3574;15734;3332;37171;2993;6432;33056;15100;37288;13501;12560;42174;11244;6900;56815;92115;17513;57111;184214;57386;33496;53711;12246;13927;25938;17706;872310
"..Setembro/2020";8596;3725;15750;3302;36745;2822;6253;33346;15926;38873;14106;12490;42319;12392;7071;59623;93797;17520;56841;188644;60552;36010;55369;12685;14263;26396;17613;893029
"..Outubro/2020";9004;3973;15816;3404;38545;3112;6434;35514;16490;39761;14384;12322;43301;13779;7610;63849;96319;18205;56302;194520;64517;39070;58714;13010;14595;26983;18395;927928
"..Novembro/2020";9143;3844;15490;3250;37309;2890;6431;33799;16104;38739;14026;12772;41535;13549;7491;60821;96124;20158;56449;192216;64765;39395;59175;12510;14261;25409;17260;914915
"..Dezembro/2020";8804;3861;16363;3371;36327;2969;6533;31511;15753;36845;14272;13623;40772;12870;7156;56812;94683;20945;56089;184924;58540;36187;56255;12945;13782;25078;17524;884794
"2021";108222;45454;197131;40841;446760;36271;73121;424156;195861;467265;166040;171223;529629;152781;84346;699569;1135689;243449;692999;2221856;703055;431234;661880;146750;179349;317452;216195;10788578
"  Janeiro/2021";8947;4047;17974;3541;37297;3109;6370;33783;16811;38371;13338;13661;41706;13125;7543;57767;96438;20707;59153;191757;61016;37163;58501;13152;14667;26478;18737;915159
"  Fevereiro/2021";8701;3846;15989;3415;35200;2919;6390;34300;15544;36705;13572;13315;40737;12729;7306;56574;90536;19619;53349;182459;60998;37152;54700;13384;14175;26226;18028;877868
"  Março/2021";10203;4032;17623;3612;41897;3604;7248;38530;17143;44055;15968;15482;46923;14618;8683;62847;106357;23712;66869;206079;64068;38236;59789;15025;16944;29976;20986;1000509
"  Abril/2021";10128;3939;16647;3407;38273;3241;7089;36625;17174;45245;15525;15266;47097;13728;8209;61987;98333;21013;62005;184844;62435;36323;55860;13625;16041;28986;19160;942205
"  Maio/2021";10591;4202;17991;3617;40514;3563;7900;39721;18273;46617;16276;16959;51008;14181;8832;68631;106320;23359;65116;203624;67990;40355;61814;15111;16900;30297;19983;1019745
"  Junho/2021";9774;4046;17738;3585;39715;3284;7582;38487;17573;43402;15312;15739;47295;13208;8026;63656;103062;22242;61022;196862;62574;39991;60747;14058;16666;29551;18937;974134
"  Julho/2021";10070;4118;18624;3771;39765;3431;7297;37612;17329;41847;14674;14658;46558;13798;7690;64550;104069;22718;63763;190618;64302;40028;61618;14059;16661;29800;19146;972574
"  Agosto/2021";9605;4279;18560;3996;40902;3314;7111;39496;17221;40658;14757;15191;46931;13270;8038;64824;104379;22654;65759;195944;69491;40684;61605;14071;16640;28759;19667;987806
"  Setembro/2021";9760;4269;17541;3654;40438;2989;6673;37193;17295;40376;14604;15141;45704;13209;7758;62008;100031;21600;60832;189775;64892;39580;59567;13279;15564;26838;20056;950626
"  Outubro/2021";8696;3954;16682;3310;38815;3200;4040;35585;16677;37133;14289;14524;44911;12837;6402;58885;92618;19712;54524;183501;54242;36130;56507;10881;14222;23917;17743;883937
"  Novembro/2021";7080;3064;14393;2892;33804;2358;3319;29924;14570;32342;10904;12629;41604;10974;3813;48539;80865;16544;49234;174435;45681;30559;46864;7160;12507;22634;14410;773102
"  Dezembro/2021";4667;1658;7369;2041;20140;1259;2102;22900;10251;20514;6821;8658;29155;7104;2046;29301;52681;9569;31373;121958;25366;15033;24308;2945;8362;13990;9342;490913
"Total";342813;136232;588036;126463;1391948;112716;241084;1296841;608361;1485856;523840;524815;1618261;477828;275391;2297553;3602952;735001;2122485;7057084;2383176;1400661;2144477;495801;553216;981571;672065;34196527
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
