 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2022-2023
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2020";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"..Dezembro/2020";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"2021";9175;3687;14776;2519;30164;2917;11293;27032;11684;33637;13324;11245;25144;8925;12312;61153;86854;18038;48548;102369;74668;40017;56620;22724;13527;20207;15391;777950
"  Janeiro/2021";1;-;-;-;5;-;-;1;-;3;2;1;2;1;-;5;2;-;-;2;4;1;-;-;1;1;1;33
"  Fevereiro/2021";-;1;-;-;1;-;-;-;1;-;2;1;1;-;-;-;-;-;2;2;-;-;-;-;-;1;-;12
"  Março/2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;4
"  Abril/2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"  Maio/2021";1;-;-;-;-;-;-;1;-;-;-;4;-;-;-;2;1;-;5;2;-;-;-;-;-;-;-;16
"  Junho/2021";-;-;-;-;1;-;-;-;-;1;-;6;-;2;-;1;8;-;15;8;2;1;1;2;-;2;2;52
"  Julho/2021";1;-;5;1;3;-;-;-;2;4;3;4;4;3;1;52;35;1;38;43;11;6;17;21;8;57;1;321
"  Agosto/2021";6;1;12;1;10;-;5;13;4;32;25;36;4;53;8;377;224;3;258;259;183;34;153;61;52;126;8;1948
"  Setembro/2021";173;23;209;31;161;-;309;373;94;493;172;202;95;184;180;1795;1369;127;879;1253;1643;454;865;547;235;340;141;12347
"  Outubro/2021";1116;248;1179;236;2262;60;2331;2976;1152;3843;974;1293;1898;738;1797;6537;9568;1512;5272;7611;11551;4484;5488;3277;1880;1529;1321;82133
"  Novembro/2021";2564;1119;3630;716;6643;735;3658;7309;3154;8840;3844;2913;5439;2466;4167;15789;22584;4416;12252;20174;21114;10739;14757;7407;3573;5094;4219;199315
"  Dezembro/2021";5313;2295;9741;1534;21078;2122;4990;16359;7277;20421;8302;6785;17701;5478;6159;36594;53063;11979;29826;73013;40159;24298;35339;11409;7778;13057;9698;481768
"2022";119927;50132;211193;49978;498097;41675;87649;476363;212225;527087;188099;200124;590592;159712;106607;827999;1337754;265720;789578;2473504;852547;532549;771341;195010;205926;364479;228022;12363889
"..Janeiro/2022";10083;4085;17648;3976;41231;3556;7272;39764;18056;41619;14844;15575;46677;12435;8542;66648;109806;21193;61681;198596;66108;40805;62245;15306;16741;28973;19762;993227
"..Fevereiro/2022";9222;3605;15554;3395;36562;3091;6950;35248;15427;38294;14312;13865;43452;12132;7822;61047;97836;19445;57867;183044;63327;39566;56407;14328;15072;26667;17266;910803
"..Março/2022";10489;4218;18136;3937;41673;3383;7780;40965;17978;45569;16649;17182;50136;13502;9324;70355;113321;22188;68832;211526;73699;44932;65744;16046;17552;31408;20394;1056918
"..Abril/2022";10045;4247;17844;3746;41330;3471;7046;39794;17877;44296;16090;16927;48759;12521;8708;67566;108460;21583;63866;200496;71582;44420;64021;16017;17225;30454;19722;1018113
"..Maio/2022";10342;4308;18651;4169;44669;3817;7654;43462;19368;47968;17229;18632;52923;13620;9642;73554;117855;22930;69768;215363;76661;47475;68859;17394;17823;30817;19889;1094842
"..Junho/2022";10090;3977;17812;4348;42382;3527;6832;41411;18270;45188;15701;17024;50075;13615;8795;67353;111518;22861;65285;205421;72431;45349;66900;16461;17099;29023;18737;1037485
"..Julho/2022";9966;4181;18404;4332;41609;3491;6881;40262;17641;43679;15638;16442;50278;13729;9216;70344;113160;22960;68384;209031;72881;44622;66869;16726;16848;29343;18510;1045427
"..Agosto/2022";9974;4116;18586;4674;42436;3543;7503;41846;18538;46400;17059;17264;53001;14526;9422;73613;118661;22927;70342;220458;75067;47304;68167;17058;18621;32247;20021;1093374
"..Setembro/2022";10208;3955;17443;4486;40898;3229;7404;38659;17753;43829;15944;16606;48761;13892;8536;70750;113174;22205;65918;209948;70234;45497;62487;16254;17172;30682;18446;1034370
"..Outubro/2022";9674;4397;17523;4567;42214;3602;7544;38927;17368;44295;15206;17168;50361;13809;8822;70905;113512;23204;68205;212801;71946;45593;64677;16713;17838;31935;18938;1051744
"..Novembro/2022";10142;4560;17143;4365;42194;3511;7489;38537;17305;43566;15065;16980;48245;13476;8904;69155;111727;22326;65114;206949;70292;44627;63829;16996;17314;31701;18359;1029871
"..Dezembro/2022";9692;4483;16449;3983;40899;3454;7294;37488;16644;42384;14362;16459;47924;12455;8874;66709;108724;21898;64316;199871;68319;42359;61136;15711;16621;31229;17978;997715
"2023";120508;55510;197652;39470;500165;53571;85405;453739;213011;517981;189765;215561;593058;151926;103834;833692;1347954;267926;828019;2521004;862258;540619;745162;184073;211985;391473;224008;12449329
"Janeiro/2023";10229;4629;16969;4157;44026;3573;7143;40480;17739;44945;15410;17551;49020;12530;9371;71478;113863;23357;70682;212019;72040;45048;64644;16348;17798;34868;19777;1059694
"Fevereiro/2023";9670;4215;15833;3744;39002;3571;6728;36727;16595;40443;14345;16366;45131;11009;8737;65338;106037;21652;63428;198653;68066;42709;57348;15597;17530;32653;17803;978930
"Março/2023";11952;4968;18696;5016;45979;5683;8150;42258;19341;48735;17384;19938;52312;13616;10260;79678;128403;26022;78169;234508;82339;51478;70576;18967;19978;37002;21082;1172490
"Abril/2023";11813;4817;18330;4486;43344;5830;7886;39180;18201;45992;16024;19265;49939;12878;9707;72643;117121;23296;71599;213401;74721;48092;64949;17284;18816;33762;19552;1082928
